Classes;LOOP NORMALE;;;LOOP RINS;;;LOOP TIMELIMIT;;;LOOP GAP;;;LOOP CALLBACK;;
;# solved;Average;Geometric;# solved;Average;Geometric;# solved;Average;Geometric;# solved;Average;Geometric;# solved;Average;Geometric
C1 [0,10];9;1.244777778;0.400439776;9;1.149111111;0.365584888;9;3.569444444;1.783468125;9;1.041888889;0.280364913;9;0.380111111;0.131511929
C2 [10,100];7;43.11385714;37.51169291;7;42.90885714;36.90949291;7;33.13642857;30.90782109;7;14.12914286;13.50198178;7;4.893;4.121197419
C3[100,1000];13;273.0383846;202.3878505;13;285.8773077;218.6916127;13;166.2655385;130.0383911;13;92.12138462;56.54944568;13;39.55161538;24.00499836
C4[1000,3600];3;714.4323333;686.2489569;3;715.2916667;698.9805156;7;1247.863714;986.6575406;8;670.129;498.0812409;7;937.085;468.4119532
ALL;32;187.681125;27.25022767;32;192.90575;27.3607059;36;310.0160556;49.90747846;37;180.1862432;18.98626823;36;197.5399444;8.261524953
;;;;;;;;;;;;;;;
ISTANZE;LOOP NORMALE;LOOP RINS;LOOP TIMELIMIT;LOOP GAP;LOOP CALLBACK;;;C1;C2;C3;C4;;;;
a280;166.953;150.578;105.797;123.562;17.625;;C3;;;1;;;;;
ali535;3600;3600;3600;3600;3600;;C4;;;;1;;;;
att48;1.484;1.328;6.875;1.063;0.406;;C1;1;;;;;;;
att532;3600;3600;3600;3600;3600;;C4;;;;1;;;;
berlin52;0.187;0.156;0.375;0.094;0.062;;C1;1;;;;;;;
bier127;65.5;61.922;39.954;8.89;6.266;;C2;;1;;;;;;
burma14;0.016;0.015;0.032;0.016;0.047;;C1;1;;;;;;;
ch130;54.234;49.969;34.438;21.656;6.375;;C2;;1;;;;;;
ch150;119.218;112.296;85.234;259.078;11.203;;C3;;;1;;;;;
d198;949.547;912.75;1740.438;837.907;163.641;;C4;;;;1;;;;
d493;3600;3600;3600;3600;3600;;C4;;;;1;;;;
d657;3600;3600;3600;3600;3600;;C4;;;;1;;;;
eil101;2.656;2.468;3.296;1.734;0.422;;C1;1;;;;;;;
eil51;0.485;0.422;6.719;0.313;0.359;;C1;1;;;;;;;
eil76;0.422;0.375;1.485;0.516;0.14;;C1;1;;;;;;;
fl417;3600;3600;3600;3600;3600;;C4;;;;1;;;;
gil262;3600;3600;3600;3600;3600;;C4;;;;1;;;;
gr202;275.672;255.516;151.235;102.641;64.672;;C3;;;1;;;;;
gr229;723;694.031;425.453;569.563;3600;;C4;;;;1;;;;
gr431;3600;3600;3600;3600;3600;;C4;;;;1;;;;
kroA100;136.313;151.734;91.187;20.515;8.031;;C3;;;1;;;;;
kroA150;173.656;109.828;76.594;40.297;18.641;;C3;;;1;;;;;
kroA200;3600;3600;1944.578;251.328;3600;;C4;;;;1;;;;
kroB100;108.625;162.031;86.938;22.578;7.594;;C3;;;1;;;;;
kroB150;470.75;539.094;352.671;3600;1927.219;;C4;;;;1;;;;
kroB200;852.875;928.828;460.109;147.516;212.891;;C3;;;1;;;;;
kroC100;52.188;63.579;38.438;14.281;3.391;;C2;;1;;;;;;
kroD100;19.281;18.813;13.985;11.797;2.782;;C2;;1;;;;;;
kroE100;853.125;816.828;501.062;292.297;20.656;;C3;;;1;;;;;
lin105;68.656;66.407;35.234;19.5;2.609;;C2;;1;;;;;;
lin318;3600;3600;3600;3600;3600;;C4;;;;1;;;;
p654;3600;3600;3600;3600;3600;;C4;;;;1;;;;
pcb442;3600;3600;3600;2059.515;1077.469;;C4;;;;1;;;;
pr107;3600;3600;598;122.421;2424.266;;C4;;;;1;;;;
pr124;175.328;228.844;98.453;24.281;28.328;;C3;;;1;;;;;
pr136;72.437;137;46.406;66.047;10.734;;C3;;;1;;;;;
pr144;3600;3600;2450.875;516.188;52.578;;C4;;;;1;;;;
pr152;3600;3600;1223.031;405.094;765.125;;C4;;;;1;;;;
pr226;3600;3600;3600;3600;3600;;C4;;;;1;;;;
pr264;3600;3600;3600;3600;149.297;;C4;;;;1;;;;
pr299;3600;3600;3600;599.016;3600;;C4;;;;1;;;;
pr439;3600;3600;3600;3600;3600;;C4;;;;1;;;;
pr76;173.875;242.797;157.297;6.735;54.593;;C3;;;1;;;;;
rat195;139.797;137.375;127.968;46.375;36.453;;C3;;;1;;;;;
rat575;3600;3600;3600;3600;3600;;C4;;;;1;;;;
rat783;3600;3600;3600;3600;3600;;C4;;;;1;;;;
rat99;5.625;5.266;7.031;5.469;1.954;;C1;1;;;;;;;
rd100;24.688;23.547;48.656;10.765;10.953;;C2;;1;;;;;;
rd400;3600;3600;3600;3600;3600;;C4;;;;1;;;;
st70;17.25;16.125;21.25;12.015;1.875;;C2;;1;;;;;;
u159;301.625;282.75;173.172;45.656;22.75;;C3;;;1;;;;;
u574;3600;3600;3600;3600;3600;;C4;;;;1;;;;
u724;3600;3600;3600;3600;3600;;C4;;;;1;;;;
ulysses16.tsp;0.078;0.078;2.531;0.031;0.016;;C1;1;;;;;;;
ulysses22.tsp;0.25;0.234;3.781;0.141;0.015;;C1;1;;;;;;;
;;;;;;;;9;7;13;26;;;;
